SBA Disaster Loan Data,,,,,,,Report Run Date:  12/1/2017 ,,,,,,
,,,,,,,Report Run Time:   3:09:56PM,,,,,,
Reporting Period:  10/01/2016 - 09/30/2017,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14911,14912,4285,NC-00081,FAYETTEVILLE,28314,CUMBERLAND,NC,"2,481,144.00","1,812,724.00","668,420.00","1,209,800.00","856,700.00","353,100.00"
14911,14912,4285,NC-00081,FOUNTAIN,27829,PITT,NC,"129,421.00","128,421.00","1,000.00","10,400.00","9,400.00","1,000.00"
14911,14912,4285,NC-00081,FOUR OAKS,27524,JOHNSTON,NC,"1,162,064.00","878,771.00","283,293.00","386,000.00","282,800.00","103,200.00"
14911,14912,4285,NC-00081,FOUR OAKS,27524,WAYNE,NC,"21,894.00","21,894.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,FREMONT,27830,WAYNE,NC,"336,809.00","222,999.00","113,810.00","97,300.00","67,700.00","29,600.00"
14911,14912,4285,NC-00081,FRISCO,27936,DARE,NC,"1,161,618.00","750,856.00","410,762.00","466,200.00","363,800.00","102,400.00"
14911,14912,4285,NC-00081,FUQUAY VARINA,27526,HARNETT,NC,"37,889.00","37,889.00",0.00,"37,900.00","37,900.00",0.00
14911,14912,4285,NC-00081,FUQUAY VARINA,27526,WAKE,NC,"81,580.00","78,880.00","2,700.00","79,400.00","76,700.00","2,700.00"
14911,14912,4285,NC-00081,GARLAND,28328,SAMPSON,NC,"121,732.00","91,932.00","29,800.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,GARLAND,28441,SAMPSON,NC,"168,301.00","152,791.00","15,510.00","132,700.00","117,400.00","15,300.00"
14911,14912,4285,NC-00081,GARNER,27529,JOHNSTON,NC,"299,107.00","187,562.00","111,545.00","244,900.00","155,800.00","89,100.00"
14911,14912,4285,NC-00081,GARNER,27529,WAKE,NC,"78,143.00","72,368.00","5,775.00","17,300.00","13,900.00","3,400.00"
14911,14912,4285,NC-00081,GATESVILLE,27938,GATES,NC,"73,542.00","44,327.00","29,215.00","51,900.00","43,400.00","8,500.00"
14911,14912,4285,NC-00081,GODWIN,28344,CUMBERLAND,NC,"85,665.00","71,315.00","14,350.00","15,300.00","4,200.00","11,100.00"
14911,14912,4285,NC-00081,GODWIN,28344,SAMPSON,NC,"91,624.00","84,734.00","6,890.00","30,700.00","28,100.00","2,600.00"
14911,14912,4285,NC-00081,GOLDSBORO,27530,WAYNE,NC,"7,072,077.00","4,966,493.00","2,105,584.00","4,195,100.00","2,855,600.00","1,339,500.00"
14911,14912,4285,NC-00081,GOLDSBORO,27531,WAYNE,NC,"32,020.00","32,020.00",0.00,"32,100.00","32,100.00",0.00
14911,14912,4285,NC-00081,GOLDSBORO,27534,WAYNE,NC,"2,413,599.00","1,806,646.00","606,953.00","1,380,000.00","1,050,800.00","329,200.00"
14911,14912,4285,NC-00081,GRANDY,27939,CURRITUCK,NC,"123,907.00","122,157.00","1,750.00","64,900.00","63,100.00","1,800.00"
14911,14912,4285,NC-00081,GREENVILLE,27834,PITT,NC,"1,370,593.00","1,062,223.00","308,370.00","646,300.00","569,900.00","76,400.00"
14911,14912,4285,NC-00081,GREENVILLE,27858,PITT,NC,"393,524.00","286,794.00","106,730.00","135,700.00","100,100.00","35,600.00"
14911,14912,4285,NC-00081,GRIFTON,27834,PITT,NC,"157,768.00","109,368.00","48,400.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,GRIFTON,28530,CRAVEN,NC,"56,094.00","44,744.00","11,350.00","20,400.00","15,400.00","5,000.00"
14911,14912,4285,NC-00081,GRIFTON,28530,GREENE,NC,"64,982.00","39,665.00","25,317.00","7,700.00","6,200.00","1,500.00"
14911,14912,4285,NC-00081,GRIFTON,28530,LENOIR,NC,"467,754.00","370,609.00","97,145.00","155,400.00","131,000.00","24,400.00"
14911,14912,4285,NC-00081,GRIFTON,28530,PITT,NC,"895,816.00","683,486.00","212,330.00","460,400.00","351,400.00","109,000.00"
14911,14912,4285,NC-00081,HALLSBORO,28442,COLUMBUS,NC,"106,221.00","93,621.00","12,600.00","100,500.00","92,100.00","8,400.00"
14911,14912,4285,NC-00081,HAMLET,28345,RICHMOND,NC,"31,547.00","31,547.00",0.00,"30,400.00","30,400.00",0.00
14911,14912,4285,NC-00081,HAMPSTEAD,28443,PENDER,NC,"13,860.00","13,860.00",0.00,"13,900.00","13,900.00",0.00
14911,14912,4285,NC-00081,HARRELLS,28444,BLADEN,NC,"195,333.00","86,978.00","108,355.00","62,500.00","40,600.00","21,900.00"
14911,14912,4285,NC-00081,HARRELLS,28444,SAMPSON,NC,"595,820.00","387,841.00","207,979.00","90,700.00","52,900.00","37,800.00"
14911,14912,4285,NC-00081,HATTERAS,27943,DARE,NC,"1,441,979.00","964,929.00","477,050.00","649,000.00","415,500.00","233,500.00"
14911,14912,4285,NC-00081,HAVELOCK,28532,CRAVEN,NC,"14,310.00","14,310.00",0.00,"14,400.00","14,400.00",0.00
14911,14912,4285,NC-00081,HERTFORD,27944,PERQUIMANS,NC,"189,715.00","166,045.00","23,670.00","74,800.00","69,700.00","5,100.00"
14911,14912,4285,NC-00081,HOBBSVILLE,27946,GATES,NC,"12,940.00",0.00,"12,940.00","13,000.00",0.00,"13,000.00"
14911,14912,4285,NC-00081,HOBGOOD,27843,EDGECOMBE,NC,"37,117.00","34,157.00","2,960.00","25,900.00","22,900.00","3,000.00"
