Zip Code,Location,City,Avg. Income/H/hold
32459,"30.350482, -86.143292","Santa Rosa Beach, Florida","$42,359.00"
32407,"30.213886, -85.797874","Panama City Beach, Florida","$42,340.00"
33955,"26.816140, -81.994031","Punta Gorda, Florida","$42,334.00"
33165,"25.735888, -80.360747","Miami, Florida","$42,329.00"
32803,"28.559625, -81.347832","Orlando, Florida","$42,313.00"
33040,"24.576542, -81.675486","Key West, Florida","$42,255.00"
33609,"27.943908, -82.511448","Tampa, Florida","$42,247.00"
32833,"28.496895, -81.087103","Orlando, Florida","$42,220.00"
33990,"26.628550, -81.948755","Cape Coral, Florida","$42,185.00"
33184,"25.759988, -80.404887","Miami, Florida","$42,166.00"
32907,"28.021558, -80.681081","Palm Bay, Florida","$42,121.00"
32164,"29.516323, -81.236703","Palm Coast, Florida","$42,091.00"
32580,"30.490067, -86.514831","Valparaiso, Florida","$42,052.00"
32137,"29.567632, -81.215189","Palm Coast, Florida","$41,912.00"
32577,"30.737504, -87.385630","Molino, Florida","$41,908.00"
33703,"27.817439, -82.623631","Saint Petersburg, Florida","$41,899.00"
34268,"27.160131, -81.876724","Nocatee, Florida","$41,806.00"
32244,"30.212850, -81.752367","Jacksonville, Florida","$41,769.00"
32040,"30.262555, -82.217477","Glen Saint Mary, Florida","$41,647.00"
32220,"30.336938, -81.826277","Jacksonville, Florida","$41,622.00"
34787,"28.450355, -81.626886","Winter Garden, Florida","$41,592.00"
32097,"30.661230, -81.630492","Yulee, Florida","$41,567.00"
34216,"27.530884, -82.734878","Anna Maria, Florida","$41,553.00"
34949,"27.510191, -80.321711","Fort Pierce, Florida","$41,539.00"
34655,"28.224036, -82.645706","New Port Richey, Florida","$41,485.00"
33761,"28.033061, -82.724374","Clearwater, Florida","$41,463.00"
33305,"26.152874, -80.121646","Fort Lauderdale, Florida","$41,438.00"
33928,"26.402407, -81.707903","Estero, Florida","$41,380.00"
32738,"28.911971, -81.186276","Deltona, Florida","$41,363.00"
32216,"30.282311, -81.583943","Jacksonville, Florida","$41,354.00"
34135,"26.349576, -81.748478","Bonita Springs, Florida","$41,334.00"
